year,title,bechdel_score,pass_bechdel,budget_2013,domgross_2013,intgross_2013,decade,imdb_id,language,metascore,imdb_rating,award_winner,runtime,profit,ROI,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
2013,G.I. Joe: Retaliation,Passes Bechdel,TRUE,140000000,122523060,371923060,2010 - present,1583421,English,41,5.9,FALSE,110,231923060,1.6565932857142858,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Gangster Squad,Don't talk to each other,FALSE,60000000,46000903,104100903,2010 - present,1321870,English,40,6.8,FALSE,113,44100903,0.73501505,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Gloria,Passes Bechdel,TRUE,30000000,4167493,4967493,2010 - present,2425486,"Spanish, English",83,7,FALSE,110,-25032507,-0.8344169,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Gravity,Less than 2 women,FALSE,110000000,271814796,708714796,2010 - present,1454468,"English, Greenlandic",96,8.2,TRUE,91,598714796,5.4428617818181815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Grown Ups 2,Only talk about men,FALSE,80000000,133668525,247023808,2010 - present,2191701,English,19,5.4,FALSE,101,167023808,2.0877976,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Hansel & Gretel: Witch Hunters,Passes Bechdel,TRUE,50000000,55703475,225703475,2010 - present,1428538,NA,NA,NA,NA,NA,175703475,3.5140695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Her,Only talk about men,FALSE,23000000,25000178,33029713,2010 - present,1798709,English,90,8.3,TRUE,126,10029713,0.4360744782608696,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Identity Thief,Only talk about men,FALSE,35000000,134506920,176269721,2010 - present,2024432,English,35,5.7,FALSE,111,141269721,4.036277742857143,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Insidious: Chapter 2,Only talk about men,FALSE,5000000,83586447,161911222,2010 - present,2226417,English,40,6.7,FALSE,106,156911222,31.3822444,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Iron Man 3,Dubious,FALSE,200000000,408992272,1212692272,2010 - present,1300854,English,62,7.4,FALSE,130,1012692272,5.06346136,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Jack the Giant Slayer,Less than 2 women,FALSE,195000000,65187603,197387603,2010 - present,1351685,English,51,6.3,FALSE,114,2387603,0.012244117948717948,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Kick-Ass 2,Passes Bechdel,TRUE,28000000,28795985,60839197,2010 - present,1650554,English,41,6.8,FALSE,103,32839197,1.1728284642857143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Last Vegas,Don't talk to each other,FALSE,28000000,63914167,112914167,2010 - present,1204975,English,48,6.7,FALSE,105,84914167,3.0326488214285714,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Lee Daniels' The Butler,Passes Bechdel,TRUE,30000000,116632095,151513429,2010 - present,1327773,NA,NA,NA,NA,NA,121513429,4.0504476333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Machete Kills,Passes Bechdel,TRUE,2000000,8008161,9408161,2010 - present,2002718,"English, Spanish",41,5.8,FALSE,107,7408161,3.7040805,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Mama,Passes Bechdel,TRUE,15000000,71628180,148041253,2010 - present,2023587,English,57,6.3,FALSE,100,133041253,8.869416866666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Man of Steel,Passes Bechdel,TRUE,225000000,291045518,687999518,2010 - present,0770828,English,55,7.4,FALSE,143,462999518,2.0577756355555556,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
